data_id,data_cnt,origin_vote,S_id,vote,random_label
636,56,14,15,15,20
637,56,14,15,15,13
638,1,25,367,25,3
639,56,14,15,15,21
640,56,14,15,15,11
641,86,8,7,7,25
642,75,9,10,10,17
643,33,20,17,17,1
644,1,13,368,9,19
645,42,6,6,6,10
646,56,14,15,15,4
647,1,24,369,24,8
648,1,25,370,25,18
649,1,16,371,20,9
650,56,14,15,15,3
651,1,11,372,11,14
652,1,18,373,18,1
653,1,13,374,9,25
654,33,20,17,17,3
655,1,22,375,21,13
656,56,14,15,15,2
657,63,16,20,20,11
658,67,11,11,11,8
659,23,4,13,13,25
660,1,13,376,9,9
661,86,8,7,7,19
662,1,18,377,18,20
663,1,15,378,14,11
664,1,13,379,9,5
665,1,15,380,14,21
666,1,18,381,18,15
667,1,24,382,24,25
668,1,18,383,18,4
669,1,17,384,19,6
670,1,18,385,18,5
671,23,4,13,13,2
672,1,10,386,13,17
673,1,5,387,5,13
674,1,5,388,5,1
675,86,8,7,7,10
676,33,20,17,17,20
677,33,20,17,17,21
678,1,12,389,16,23
679,1,24,390,23,19
680,1,21,391,23,12
681,63,16,20,20,10
682,1,12,392,16,6
683,1,21,393,8,25
684,1,7,394,12,14
685,56,14,15,15,12
686,43,5,5,5,8
687,43,5,5,5,4
688,44,1,1,1,1
689,1,5,395,5,20
690,67,11,11,11,9
691,1,24,396,24,23
692,1,25,397,25,5
693,44,1,1,1,11
694,33,20,17,17,9
695,75,9,10,10,9
696,67,11,11,11,4
697,1,12,398,16,12
698,1,21,399,23,1
699,43,5,5,5,1
700,75,9,10,10,5
701,44,1,1,1,5
702,1,23,400,22,10
703,23,4,13,13,2
704,23,4,13,13,5
705,43,5,5,5,1
706,1,5,401,5,2
707,1,12,402,16,12
708,1,12,403,16,5
709,75,9,10,10,8
710,56,14,15,15,7
711,86,8,7,7,18
712,1,18,404,18,16
713,44,1,1,1,9
714,37,3,4,4,2
715,1,15,405,14,8
716,37,3,4,4,16
717,1,17,406,19,2
718,1,16,407,23,3
719,56,14,15,15,16
720,1,18,408,18,8
721,86,8,7,7,18
722,1,14,409,15,6
723,56,14,15,15,15
724,44,1,1,1,6
725,1,20,410,17,17
726,1,15,411,14,16
727,11,13,9,9,20
728,75,9,10,10,11
729,1,13,412,9,5
730,75,9,10,10,23
731,32,25,25,25,9
732,75,9,10,10,11
733,75,9,10,10,21
734,75,9,10,10,9
735,44,1,1,1,23
736,1,13,413,9,1
737,1,18,414,18,24
738,1,18,415,18,2
739,1,10,416,13,1
740,37,3,4,4,12
741,1,3,417,4,18
742,1,13,418,9,12
743,1,18,419,18,16
744,37,3,4,4,1
745,37,3,4,4,6
746,1,15,420,19,3
747,53,22,21,21,4
748,56,14,15,15,3
749,1,15,421,14,14
750,1,21,422,8,23
751,1,15,423,14,7
752,33,20,17,17,5
753,63,16,20,20,9
754,53,22,21,21,2
755,1,23,424,22,3
756,1,24,425,24,19
757,32,25,25,25,3
758,1,23,426,22,7
759,1,21,427,8,6
760,56,14,15,15,7
761,67,11,11,11,22
762,1,25,428,25,6
763,1,7,429,12,4
764,1,21,430,23,22
765,56,14,15,15,7
766,44,1,1,1,24
767,1,24,431,24,21
768,17,21,8,8,16
769,1,23,432,22,8
770,75,9,10,10,23
771,1,13,433,9,18
772,33,20,17,17,11
773,75,9,10,10,19
774,1,23,434,22,19
775,1,18,435,18,10
776,43,5,5,5,15
777,1,21,436,8,9
778,1,15,437,14,24
779,1,10,438,13,20
780,1,15,439,14,20
781,1,24,440,24,1
782,1,18,441,18,9
783,1,15,442,14,10
784,53,22,21,21,9
785,1,19,443,23,24
786,63,16,20,20,2
787,19,23,22,22,23
788,19,23,22,22,12
789,53,22,21,21,17
790,1,10,444,13,13
791,1,17,445,19,18
792,44,1,1,1,17
793,19,23,22,22,19
794,19,23,22,22,23
795,53,22,21,21,25
796,53,22,21,21,1
797,63,16,20,20,13
798,53,22,21,21,23
799,43,5,5,5,18
800,23,4,13,13,20
801,1,21,446,23,10
802,53,22,21,21,25
803,43,5,5,5,6
804,1,18,447,18,18
805,75,9,10,10,8
806,1,17,448,19,7
807,1,13,449,9,21
808,1,13,450,9,14
809,1,18,451,18,14
810,53,22,21,21,20
811,9,18,18,18,6
812,1,18,452,18,11
813,1,18,453,18,25
814,1,10,454,2,14
815,1,17,455,19,12
816,1,10,456,2,2
817,1,14,457,15,24
818,1,17,458,19,9
819,1,17,459,19,12
820,1,12,460,16,20
821,1,12,461,16,10
822,43,5,5,5,19
823,1,12,462,16,5
824,1,24,463,24,1
825,1,7,464,12,17
826,44,1,1,1,8
827,44,1,1,1,11
828,1,12,465,16,7
829,42,6,6,6,20
830,44,1,1,1,17
831,1,12,466,16,11
832,63,16,20,20,21
833,1,5,467,5,20
834,1,14,468,15,20
835,1,21,469,8,1
836,1,2,470,11,16
837,1,2,471,3,17
838,44,1,1,1,19
839,1,19,472,23,22
840,1,10,473,13,8
841,1,21,474,23,18
842,53,22,21,21,9
843,1,15,475,14,13
844,1,18,476,9,1
845,86,8,7,7,9
846,53,22,21,21,14
847,53,22,21,21,12
848,37,3,4,4,2
849,37,3,4,4,23
850,86,8,7,7,6
851,63,16,20,20,22
852,1,7,477,12,12
853,63,16,20,20,17
854,67,11,11,11,19
855,75,9,10,10,9
856,63,16,20,20,16
857,33,20,17,17,16
858,63,16,20,20,16
859,1,6,478,6,15
860,1,18,479,18,14
861,53,22,21,21,15
862,1,13,480,9,10
863,1,16,481,23,1
864,1,17,482,19,8
865,53,22,21,21,6
866,1,17,483,19,25
867,63,16,20,20,8
868,1,10,484,13,15
869,1,24,485,24,8
870,1,6,486,6,20
871,1,21,487,8,8
872,1,10,488,2,12
873,75,9,10,10,12
874,53,22,21,21,13
875,1,17,489,19,17
876,1,23,490,22,24
877,1,10,491,2,21
878,1,13,492,9,23
879,1,17,493,19,9
880,1,17,494,19,10
881,63,16,20,20,19
882,9,18,18,18,13
883,1,17,495,19,25
884,86,8,7,7,4
885,63,16,20,20,5
886,1,14,496,8,22
887,56,14,15,15,19
888,67,11,11,11,19
889,67,11,11,11,1
890,1,18,497,18,16
891,1,24,498,24,7
892,1,14,499,15,23
893,1,17,500,19,24
894,1,24,501,23,14
895,75,9,10,10,7
896,56,14,15,15,14
897,1,15,502,14,19
898,1,21,503,8,16
899,1,5,504,5,2
